,Unnamed: 0,decade,index,rank,catchphrase,count
365,4266,1970,46,5 - Very High,rooby_rooby_roo,0.0
366,2457,1970,46,5 - Very High,groovy,0.0
367,1854,1970,46,5 - Very High,just_about_wrapped_up,0.0
368,1855,1970,47,4 - High,just_about_wrapped_up,0.0
369,3664,1970,47,4 - High,scooby_doo_where_are_you,0.0
370,4267,1970,47,4 - High,rooby_rooby_roo,1.0
371,649,1970,47,4 - High,jinkies,0.0
372,2458,1970,47,4 - High,groovy,0.0
373,3061,1970,47,4 - High,zoinks,0.0
374,1252,1970,47,4 - High,my_glasses,0.0
375,46,1970,47,4 - High,jeepers,0.0
376,1253,1970,48,5 - Very High,my_glasses,0.0
377,2459,1970,48,5 - Very High,groovy,0.0
378,650,1970,48,5 - Very High,jinkies,2.0
379,4268,1970,48,5 - Very High,rooby_rooby_roo,0.0
380,3665,1970,48,5 - Very High,scooby_doo_where_are_you,0.0
381,1856,1970,48,5 - Very High,just_about_wrapped_up,0.0
382,3062,1970,48,5 - Very High,zoinks,0.0
383,47,1970,48,5 - Very High,jeepers,0.0
384,2460,1970,49,5 - Very High,groovy,0.0
385,651,1970,49,5 - Very High,jinkies,1.0
386,1857,1970,49,5 - Very High,just_about_wrapped_up,0.0
387,4269,1970,49,5 - Very High,rooby_rooby_roo,0.0
388,48,1970,49,5 - Very High,jeepers,0.0
389,3666,1970,49,5 - Very High,scooby_doo_where_are_you,0.0
390,3063,1970,49,5 - Very High,zoinks,0.0
391,1254,1970,49,5 - Very High,my_glasses,0.0
392,3667,1970,50,5 - Very High,scooby_doo_where_are_you,0.0
393,2461,1970,50,5 - Very High,groovy,0.0
394,4270,1970,50,5 - Very High,rooby_rooby_roo,0.0
395,49,1970,50,5 - Very High,jeepers,0.0
396,1858,1970,50,5 - Very High,just_about_wrapped_up,0.0
397,3064,1970,50,5 - Very High,zoinks,6.0
398,1255,1970,50,5 - Very High,my_glasses,0.0
399,652,1970,50,5 - Very High,jinkies,2.0
400,3065,1970,51,4 - High,zoinks,3.0
401,4271,1970,51,4 - High,rooby_rooby_roo,0.0
402,2462,1970,51,4 - High,groovy,0.0
403,50,1970,51,4 - High,jeepers,0.0
404,1859,1970,51,4 - High,just_about_wrapped_up,0.0
405,3668,1970,51,4 - High,scooby_doo_where_are_you,0.0
406,653,1970,51,4 - High,jinkies,0.0
407,1256,1970,51,4 - High,my_glasses,0.0
408,2463,1970,52,4 - High,groovy,0.0
409,3669,1970,52,4 - High,scooby_doo_where_are_you,0.0
410,1860,1970,52,4 - High,just_about_wrapped_up,0.0
411,4272,1970,52,4 - High,rooby_rooby_roo,1.0
412,3066,1970,52,4 - High,zoinks,8.0
413,654,1970,52,4 - High,jinkies,0.0
414,51,1970,52,4 - High,jeepers,0.0
415,1257,1970,52,4 - High,my_glasses,0.0
416,3067,1970,53,4 - High,zoinks,1.0
417,2464,1970,53,4 - High,groovy,0.0
418,1258,1970,53,4 - High,my_glasses,0.0
419,4273,1970,53,4 - High,rooby_rooby_roo,0.0
420,3670,1970,53,4 - High,scooby_doo_where_are_you,0.0
421,52,1970,53,4 - High,jeepers,0.0
422,655,1970,53,4 - High,jinkies,2.0
423,1861,1970,53,4 - High,just_about_wrapped_up,0.0
424,2465,1970,54,5 - Very High,groovy,0.0
425,1862,1970,54,5 - Very High,just_about_wrapped_up,0.0
426,1259,1970,54,5 - Very High,my_glasses,0.0
427,53,1970,54,5 - Very High,jeepers,1.0
428,4274,1970,54,5 - Very High,rooby_rooby_roo,0.0
429,3068,1970,54,5 - Very High,zoinks,1.0
430,656,1970,54,5 - Very High,jinkies,1.0
431,3671,1970,54,5 - Very High,scooby_doo_where_are_you,0.0
432,657,1970,55,5 - Very High,jinkies,0.0
433,3069,1970,55,5 - Very High,zoinks,5.0
434,4275,1970,55,5 - Very High,rooby_rooby_roo,4.0
435,1260,1970,55,5 - Very High,my_glasses,0.0
436,54,1970,55,5 - Very High,jeepers,0.0
437,1863,1970,55,5 - Very High,just_about_wrapped_up,0.0
438,3672,1970,55,5 - Very High,scooby_doo_where_are_you,0.0
439,2466,1970,55,5 - Very High,groovy,0.0
440,55,1970,56,5 - Very High,jeepers,0.0
441,658,1970,56,5 - Very High,jinkies,0.0
442,3070,1970,56,5 - Very High,zoinks,10.0
443,4276,1970,56,5 - Very High,rooby_rooby_roo,0.0
444,2467,1970,56,5 - Very High,groovy,0.0
445,3673,1970,56,5 - Very High,scooby_doo_where_are_you,0.0
446,1864,1970,56,5 - Very High,just_about_wrapped_up,0.0
447,1261,1970,56,5 - Very High,my_glasses,0.0
448,2468,1970,57,5 - Very High,groovy,0.0
449,3071,1970,57,5 - Very High,zoinks,3.0
450,3674,1970,57,5 - Very High,scooby_doo_where_are_you,0.0
451,4277,1970,57,5 - Very High,rooby_rooby_roo,1.0
452,1262,1970,57,5 - Very High,my_glasses,0.0
453,56,1970,57,5 - Very High,jeepers,0.0
454,1865,1970,57,5 - Very High,just_about_wrapped_up,0.0
455,659,1970,57,5 - Very High,jinkies,0.0
456,2469,1970,58,5 - Very High,groovy,0.0
457,57,1970,58,5 - Very High,jeepers,4.0
458,4278,1970,58,5 - Very High,rooby_rooby_roo,1.0
459,3072,1970,58,5 - Very High,zoinks,13.0
460,1866,1970,58,5 - Very High,just_about_wrapped_up,0.0
461,1263,1970,58,5 - Very High,my_glasses,0.0
462,3675,1970,58,5 - Very High,scooby_doo_where_are_you,0.0
463,660,1970,58,5 - Very High,jinkies,0.0
464,3676,1970,59,5 - Very High,scooby_doo_where_are_you,0.0
465,1867,1970,59,5 - Very High,just_about_wrapped_up,0.0
466,58,1970,59,5 - Very High,jeepers,0.0
467,1264,1970,59,5 - Very High,my_glasses,0.0
468,661,1970,59,5 - Very High,jinkies,0.0
469,3073,1970,59,5 - Very High,zoinks,8.0
470,4279,1970,59,5 - Very High,rooby_rooby_roo,0.0
471,2470,1970,59,5 - Very High,groovy,0.0
472,662,1970,60,4 - High,jinkies,1.0
473,2471,1970,60,4 - High,groovy,0.0
474,1265,1970,60,4 - High,my_glasses,0.0
475,4280,1970,60,4 - High,rooby_rooby_roo,0.0
476,59,1970,60,4 - High,jeepers,2.0
477,3074,1970,60,4 - High,zoinks,9.0
478,3677,1970,60,4 - High,scooby_doo_where_are_you,0.0
479,1868,1970,60,4 - High,just_about_wrapped_up,0.0
480,1266,1970,61,4 - High,my_glasses,0.0
481,1869,1970,61,4 - High,just_about_wrapped_up,1.0
482,60,1970,61,4 - High,jeepers,5.0
483,2472,1970,61,4 - High,groovy,0.0
484,663,1970,61,4 - High,jinkies,1.0
485,3678,1970,61,4 - High,scooby_doo_where_are_you,0.0
486,3075,1970,61,4 - High,zoinks,12.0
487,4281,1970,61,4 - High,rooby_rooby_roo,1.0
488,3679,1970,62,3 - Moderate,scooby_doo_where_are_you,0.0
489,664,1970,62,3 - Moderate,jinkies,2.0
490,3076,1970,62,3 - Moderate,zoinks,3.0
