,index,rank,catchphrase,count
366,46,5 - Very High,Groovy,0.0
367,46,5 - Very High,Just about wrapped up,0.0
368,47,4 - High,Just about wrapped up,0.0
369,47,4 - High,Scooby Doo! Where are you?,0.0
370,47,4 - High,Rooby rooby roo!,1.0
371,47,4 - High,Jinkies!,0.0
372,47,4 - High,Groovy,0.0
373,47,4 - High,Zoinks!,0.0
374,47,4 - High,My glasses!,0.0
375,47,4 - High,Jeepers!,0.0
376,48,5 - Very High,My glasses!,0.0
377,48,5 - Very High,Groovy,0.0
378,48,5 - Very High,Jinkies!,2.0
379,48,5 - Very High,Rooby rooby roo!,0.0
380,48,5 - Very High,Scooby Doo! Where are you?,0.0
381,48,5 - Very High,Just about wrapped up,0.0
382,48,5 - Very High,Zoinks!,0.0
383,48,5 - Very High,Jeepers!,0.0
384,49,5 - Very High,Groovy,0.0
385,49,5 - Very High,Jinkies!,1.0
386,49,5 - Very High,Just about wrapped up,0.0
387,49,5 - Very High,Rooby rooby roo!,0.0
388,49,5 - Very High,Jeepers!,0.0
389,49,5 - Very High,Scooby Doo! Where are you?,0.0
390,49,5 - Very High,Zoinks!,0.0
391,49,5 - Very High,My glasses!,0.0
392,50,5 - Very High,Scooby Doo! Where are you?,0.0
393,50,5 - Very High,Groovy,0.0
394,50,5 - Very High,Rooby rooby roo!,0.0
395,50,5 - Very High,Jeepers!,0.0
396,50,5 - Very High,Just about wrapped up,0.0
397,50,5 - Very High,Zoinks!,6.0
398,50,5 - Very High,My glasses!,0.0
399,50,5 - Very High,Jinkies!,2.0
400,51,4 - High,Zoinks!,3.0
401,51,4 - High,Rooby rooby roo!,0.0
402,51,4 - High,Groovy,0.0
403,51,4 - High,Jeepers!,0.0
404,51,4 - High,Just about wrapped up,0.0
405,51,4 - High,Scooby Doo! Where are you?,0.0
406,51,4 - High,Jinkies!,0.0
407,51,4 - High,My glasses!,0.0
408,52,4 - High,Groovy,0.0
409,52,4 - High,Scooby Doo! Where are you?,0.0
410,52,4 - High,Just about wrapped up,0.0
411,52,4 - High,Rooby rooby roo!,1.0
412,52,4 - High,Zoinks!,8.0
413,52,4 - High,Jinkies!,0.0
414,52,4 - High,Jeepers!,0.0
415,52,4 - High,My glasses!,0.0
416,53,4 - High,Zoinks!,1.0
417,53,4 - High,Groovy,0.0
418,53,4 - High,My glasses!,0.0
419,53,4 - High,Rooby rooby roo!,0.0
420,53,4 - High,Scooby Doo! Where are you?,0.0
421,53,4 - High,Jeepers!,0.0
422,53,4 - High,Jinkies!,2.0
423,53,4 - High,Just about wrapped up,0.0
424,54,5 - Very High,Groovy,0.0
425,54,5 - Very High,Just about wrapped up,0.0
426,54,5 - Very High,My glasses!,0.0
427,54,5 - Very High,Jeepers!,1.0
428,54,5 - Very High,Rooby rooby roo!,0.0
429,54,5 - Very High,Zoinks!,1.0
430,54,5 - Very High,Jinkies!,1.0
431,54,5 - Very High,Scooby Doo! Where are you?,0.0
432,55,5 - Very High,Jinkies!,0.0
433,55,5 - Very High,Zoinks!,5.0
434,55,5 - Very High,Rooby rooby roo!,4.0
435,55,5 - Very High,My glasses!,0.0
436,55,5 - Very High,Jeepers!,0.0
437,55,5 - Very High,Just about wrapped up,0.0
438,55,5 - Very High,Scooby Doo! Where are you?,0.0
439,55,5 - Very High,Groovy,0.0
440,56,5 - Very High,Jeepers!,0.0
441,56,5 - Very High,Jinkies!,0.0
442,56,5 - Very High,Zoinks!,10.0
443,56,5 - Very High,Rooby rooby roo!,0.0
444,56,5 - Very High,Groovy,0.0
445,56,5 - Very High,Scooby Doo! Where are you?,0.0
446,56,5 - Very High,Just about wrapped up,0.0
447,56,5 - Very High,My glasses!,0.0
448,57,5 - Very High,Groovy,0.0
449,57,5 - Very High,Zoinks!,3.0
450,57,5 - Very High,Scooby Doo! Where are you?,0.0
451,57,5 - Very High,Rooby rooby roo!,1.0
452,57,5 - Very High,My glasses!,0.0
453,57,5 - Very High,Jeepers!,0.0
454,57,5 - Very High,Just about wrapped up,0.0
455,57,5 - Very High,Jinkies!,0.0
456,58,5 - Very High,Groovy,0.0
457,58,5 - Very High,Jeepers!,4.0
458,58,5 - Very High,Rooby rooby roo!,1.0
459,58,5 - Very High,Zoinks!,13.0
460,58,5 - Very High,Just about wrapped up,0.0
461,58,5 - Very High,My glasses!,0.0
462,58,5 - Very High,Scooby Doo! Where are you?,0.0
463,58,5 - Very High,Jinkies!,0.0
464,59,5 - Very High,Scooby Doo! Where are you?,0.0
465,59,5 - Very High,Just about wrapped up,0.0
466,59,5 - Very High,Jeepers!,0.0
467,59,5 - Very High,My glasses!,0.0
468,59,5 - Very High,Jinkies!,0.0
469,59,5 - Very High,Zoinks!,8.0
470,59,5 - Very High,Rooby rooby roo!,0.0
471,59,5 - Very High,Groovy,0.0
472,60,4 - High,Jinkies!,1.0
473,60,4 - High,Groovy,0.0
474,60,4 - High,My glasses!,0.0
475,60,4 - High,Rooby rooby roo!,0.0
476,60,4 - High,Jeepers!,2.0
477,60,4 - High,Zoinks!,9.0
478,60,4 - High,Scooby Doo! Where are you?,0.0
479,60,4 - High,Just about wrapped up,0.0
480,61,4 - High,My glasses!,0.0
481,61,4 - High,Just about wrapped up,1.0
482,61,4 - High,Jeepers!,5.0
483,61,4 - High,Groovy,0.0
484,61,4 - High,Jinkies!,1.0
485,61,4 - High,Scooby Doo! Where are you?,0.0
486,61,4 - High,Zoinks!,12.0
487,61,4 - High,Rooby rooby roo!,1.0
488,62,3 - Moderate,Scooby Doo! Where are you?,0.0
489,62,3 - Moderate,Jinkies!,2.0
490,62,3 - Moderate,Zoinks!,3.0
491,62,3 - Moderate,Groovy,0.0
492,62,3 - Moderate,Rooby rooby roo!,0.0
493,62,3 - Moderate,My glasses!,0.0
494,62,3 - Moderate,Jeepers!,0.0
495,62,3 - Moderate,Just about wrapped up,0.0
496,63,4 - High,Jinkies!,3.0
497,63,4 - High,Zoinks!,4.0
498,63,4 - High,Rooby rooby roo!,1.0
499,63,4 - High,Groovy,0.0
500,63,4 - High,Jeepers!,0.0
501,63,4 - High,Scooby Doo! Where are you?,1.0
502,63,4 - High,My glasses!,1.0
503,63,4 - High,Just about wrapped up,1.0
504,64,4 - High,Zoinks!,7.0
505,64,4 - High,Jeepers!,0.0
506,64,4 - High,Just about wrapped up,0.0
507,64,4 - High,My glasses!,0.0
508,64,4 - High,Groovy,0.0
509,64,4 - High,Scooby Doo! Where are you?,0.0
510,64,4 - High,Rooby rooby roo!,2.0
511,64,4 - High,Jinkies!,1.0
512,65,4 - High,Jinkies!,0.0
513,65,4 - High,Zoinks!,7.0
514,65,4 - High,Scooby Doo! Where are you?,0.0
515,65,4 - High,My glasses!,0.0
516,65,4 - High,Rooby rooby roo!,0.0
517,65,4 - High,Groovy,0.0
518,65,4 - High,Just about wrapped up,0.0
519,65,4 - High,Jeepers!,0.0
520,66,4 - High,Rooby rooby roo!,2.0
521,66,4 - High,Scooby Doo! Where are you?,0.0
522,66,4 - High,Just about wrapped up,0.0
523,66,4 - High,Jeepers!,1.0
524,66,4 - High,Zoinks!,8.0
525,66,4 - High,Groovy,0.0
526,66,4 - High,Jinkies!,0.0
527,66,4 - High,My glasses!,0.0
528,67,5 - Very High,Zoinks!,5.0
529,67,5 - Very High,Just about wrapped up,0.0
530,67,5 - Very High,Jinkies!,0.0
531,67,5 - Very High,My glasses!,0.0
532,67,5 - Very High,Rooby rooby roo!,2.0
533,67,5 - Very High,Scooby Doo! Where are you?,0.0
534,67,5 - Very High,Jeepers!,0.0
535,67,5 - Very High,Groovy,0.0
536,68,5 - Very High,Groovy,0.0
537,68,5 - Very High,My glasses!,0.0
538,68,5 - Very High,Just about wrapped up,0.0
539,68,5 - Very High,Scooby Doo! Where are you?,0.0
540,68,5 - Very High,Zoinks!,3.0
541,68,5 - Very High,Jinkies!,1.0
542,68,5 - Very High,Rooby rooby roo!,1.0
543,68,5 - Very High,Jeepers!,0.0
544,69,4 - High,My glasses!,0.0
545,69,4 - High,Zoinks!,8.0
546,69,4 - High,Just about wrapped up,0.0
547,69,4 - High,Jinkies!,0.0
548,69,4 - High,Rooby rooby roo!,1.0
549,69,4 - High,Scooby Doo! Where are you?,0.0
550,69,4 - High,Jeepers!,3.0
551,69,4 - High,Groovy,0.0
552,70,4 - High,Scooby Doo! Where are you?,
553,70,4 - High,My glasses!,
554,70,4 - High,Jinkies!,
555,70,4 - High,Rooby rooby roo!,4.0
556,70,4 - High,Jeepers!,
557,70,4 - High,Just about wrapped up,
558,70,4 - High,Zoinks!,
559,70,4 - High,Groovy,
560,71,4 - High,My glasses!,
561,71,4 - High,Scooby Doo! Where are you?,0.0
562,71,4 - High,Jinkies!,
563,71,4 - High,Groovy,0.0
564,71,4 - High,Just about wrapped up,
565,71,4 - High,Rooby rooby roo!,2.0
566,71,4 - High,Jeepers!,
567,71,4 - High,Zoinks!,1.0
568,72,5 - Very High,Jinkies!,1.0
569,72,5 - Very High,Just about wrapped up,0.0
570,72,5 - Very High,Rooby rooby roo!,0.0
571,72,5 - Very High,My glasses!,0.0
572,72,5 - Very High,Scooby Doo! Where are you?,1.0
573,72,5 - Very High,Groovy,0.0
574,72,5 - Very High,Zoinks!,11.0
575,72,5 - Very High,Jeepers!,0.0
576,73,3 - Moderate,Scooby Doo! Where are you?,
577,73,3 - Moderate,Groovy,
578,73,3 - Moderate,Just about wrapped up,
579,73,3 - Moderate,Jinkies!,
580,73,3 - Moderate,Zoinks!,
581,73,3 - Moderate,My glasses!,
582,73,3 - Moderate,Rooby rooby roo!,0.0
583,73,3 - Moderate,Jeepers!,
584,74,3 - Moderate,Zoinks!,0.0
585,74,3 - Moderate,Jeepers!,
586,74,3 - Moderate,My glasses!,
587,74,3 - Moderate,Jinkies!,
588,74,3 - Moderate,Scooby Doo! Where are you?,1.0
589,74,3 - Moderate,Just about wrapped up,
590,74,3 - Moderate,Rooby rooby roo!,0.0
591,74,3 - Moderate,Groovy,0.0
592,75,4 - High,Groovy,0.0
593,75,4 - High,Jeepers!,3.0
594,75,4 - High,Scooby Doo! Where are you?,0.0
595,75,4 - High,Zoinks!,10.0
596,75,4 - High,My glasses!,0.0
597,75,4 - High,Rooby rooby roo!,1.0
598,75,4 - High,Jinkies!,0.0
599,75,4 - High,Just about wrapped up,0.0
600,76,4 - High,Groovy,
601,76,4 - High,Rooby rooby roo!,
602,76,4 - High,Jinkies!,
603,76,4 - High,Zoinks!,
604,76,4 - High,Just about wrapped up,
605,76,4 - High,Jeepers!,
606,76,4 - High,My glasses!,
607,76,4 - High,Scooby Doo! Where are you?,
